hand,num_opponents,equity,iters
A7o,7,0.130041,200000
A7o,8,0.112962,200000
A7s,1,0.61156,200000
A7s,2,0.425973,200000
A7s,3,0.323643,200000
A7s,4,0.265335,200000
A7s,5,0.224258,200000
A7s,6,0.19558,200000
A7s,7,0.173765,200000
A7s,8,0.155932,200000
A8o,1,0.596758,200000
A8o,2,0.404531,200000
A8o,3,0.300998,200000
A8o,4,0.23488,200000
A8o,5,0.193264,200000
A8o,6,0.160612,200000
A8o,7,0.137315,200000
A8o,8,0.119698,200000
A8s,1,0.619425,200000
A8s,2,0.436029,200000
A8s,3,0.335365,200000
A8s,4,0.274753,200000
A8s,5,0.231888,200000
A8s,6,0.202666,200000
A8s,7,0.179746,200000
A8s,8,0.162662,200000
A9o,1,0.608838,200000
A9o,2,0.416647,200000
A9o,3,0.30843,200000
A9o,4,0.245086,200000
A9o,5,0.203902,200000
A9o,6,0.171153,200000
A9o,7,0.146143,200000
A9o,8,0.126824,200000
A9s,1,0.628818,200000
A9s,2,0.445527,200000
A9s,3,0.34538,200000
A9s,4,0.28347,200000
A9s,5,0.241573,200000
A9s,6,0.210502,200000
A9s,7,0.186932,200000
A9s,8,0.16759,200000
AA,1,0.852492,200000
AA,2,0.733953,200000
AA,3,0.639906,200000
AA,4,0.557875,200000
AA,5,0.491877,200000
AA,6,0.433615,200000
AA,7,0.387982,200000
AA,8,0.345149,200000
AJo,1,0.634763,200000
AJo,2,0.456243,200000
AJo,3,0.354447,200000
AJo,4,0.289804,200000
AJo,5,0.242924,200000
AJo,6,0.208697,200000
AJo,7,0.183078,200000
AJo,8,0.160271,200000
AJs,1,0.654118,200000
AJs,2,0.481371,200000
AJs,3,0.383164,200000
AJs,4,0.322622,200000
AJs,5,0.279593,200000
AJs,6,0.245618,200000
AJs,7,0.218917,200000
AJs,8,0.197923,200000
AKo,1,0.651068,200000
AKo,2,0.482461,200000
AKo,3,0.386555,200000
AKo,4,0.323242,200000
AKo,5,0.278831,200000
AKo,6,0.243888,200000
AKo,7,0.214907,200000
AKo,8,0.193337,200000
AKs,1,0.67169,200000
AKs,2,0.506584,200000
AKs,3,0.414197,200000
AKs,4,0.355477,200000
AKs,5,0.310367,200000
AKs,6,0.278399,200000
AKs,7,0.249153,200000
AKs,8,0.226441,200000
AQo,1,0.644463,200000
AQo,2,0.465289,200000
AQo,3,0.366969,200000
AQo,4,0.305846,200000
AQo,5,0.259157,200000
AQo,6,0.223334,200000
AQo,7,0.196911,200000
AQo,8,0.173917,200000
AQs,1,0.661543,200000
AQs,2,0.493735,200000
AQs,3,0.39886,200000
AQs,4,0.335975,200000
AQs,5,0.293083,200000
AQs,6,0.260038,200000
AQs,7,0.232521,200000
AQs,8,0.210704,200000
ATo,1,0.629073,200000
ATo,2,0.441717,200000
ATo,3,0.340996,200000
ATo,4,0.274484,200000
ATo,5,0.230914,200000
ATo,6,0.197216,200000
ATo,7,0.170889,200000
ATo,8,0.151192,200000
ATs,1,0.6439,200000
ATs,2,0.471463,200000
ATs,3,0.371264,200000
ATs,4,0.309376,200000
ATs,5,0.266629,200000
ATs,6,0.234771,200000
ATs,7,0.209236,200000
ATs,8,0.189967,200000
J2o,1,0.446512,200000
J2o,2,0.265127,200000
J2o,3,0.184883,200000
J2o,4,0.140266,200000
J2o,5,0.113733,200000
J2o,6,0.095343,200000
J2o,7,0.081585,200000
J2o,8,0.07061,200000
J2s,1,0.476197,200000
J2s,2,0.303551,200000
J2s,3,0.22619,200000
J2s,4,0.183721,200000
J2s,5,0.156918,200000
J2s,6,0.137664,200000
J2s,7,0.123468,200000
J2s,8,0.11038,200000
J3o,1,0.452535,200000
J3o,2,0.274383,200000
J3o,3,0.194584,200000
J3o,4,0.146284,200000
J3o,5,0.117795,200000
J3o,6,0.09748,200000
J3o,7,0.083649,200000
J3o,8,0.072187,200000
J3s,1,0.483478,200000
J3s,2,0.312048,200000
J3s,3,0.232883,200000
J3s,4,0.190009,200000
J3s,5,0.161991,200000
J3s,6,0.142959,200000
J3s,7,0.126246,200000
J3s,8,0.113342,200000
J4o,1,0.460608,200000
J4o,2,0.282009,200000
J4o,3,0.199835,200000
J4o,4,0.152735,200000
J4o,5,0.121652,200000
J4o,6,0.101814,200000
J4o,7,0.08676,200000
J4o,8,0.0738,200000
J4s,1,0.490812,200000
J4s,2,0.320178,200000
J4s,3,0.240616,200000
J4s,4,0.193831,200000
J4s,5,0.16462,200000
J4s,6,0.143229,200000
J4s,7,0.127854,200000
J4s,8,0.114887,200000
J5o,1,0.472125,200000
J5o,2,0.289693,200000
